customer_id,customer_name,segment,region,join_date,email
C00001,Customer_1,Online,west,2023-01-22,customer1@example.com
C00002,Customer_2,Retail,west,2021-05-24,customer2@example.com
C00003,Customer_3,Retail,north,2022-09-01,customer3@example.com
C00004,Customer_4,Online,east,2024-09-05,customer4@example.com
C00005,Customer_5,Retail,east,2024-02-22,customer5@example.com
C00006,Customer_6,Corporate,east,2021-06-07,customer6@example.com
C00007,Customer_7,Online,central,2024-09-11,customer7@example.com
C00008,Customer_8,Retail,south,2022-04-09,customer8@example.com
C00009,Customer_9,Retail,central,2024-10-04,customer9@example.com
C00010,Customer_10,Corporate,south,2022-10-22,customer10@example.com
C00011,Customer_11,Wholesale,east,2021-09-04,customer11@example.com
C00012,Customer_12,Wholesale,east,2023-08-13,customer12@example.com
C00013,Customer_13,Online,central,2022-02-07,customer13@example.com
 c00014 ,Customer_14,Online,central,2024-10-01,customer14@example.com
C00015,Customer_15,Retail,south,2021-05-27,customer15@example.com
C00016,Customer_16,Corporate,west,2024-03-17,customer16@example.com
C00017,Customer_17,Online,east,2023-05-14,customer17@example.com
C00018,Customer_18,Online,central,2022-05-04,customer18@example.com
C00019,Customer_19,Online,central,2023-07-18,customer19@example.com
C00020,Customer_20,Online,north,2022-07-05,customer20@example.com
C00021,Customer_21,Online,central,2021-04-12,customer21@example.com
C00022,Customer_22,Retail,north,2023-05-22,customer22@example.com
C00023,Customer_23,Online,west,2022-10-03,customer23@example.com
C00024,Customer_24,Online,south,2022-04-18,customer24@example.com
C00025,Customer_25,Online,south,2021-05-31,customer25@example.com
C00026,Customer_26,Online,north,2024-08-14,customer26@example.com
C00027,Customer_27,Online,east,2021-09-20,customer27@example.com
C00028,Customer_28,Retail,central,2021-05-24,customer28@example.com
 c00029 ,Customer_29,Retail,east,2021-12-12,customer29@example.com
C00030,Customer_30,Retail,north,2022-09-16,customer30@example.com
C00031,Customer_31,Retail,south,2023-10-14,customer31@example.com
C00032,Customer_32,Retail,north,2023-05-31,customer32@example.com
C00033,Customer_33,Online,north,2021-02-01,customer33@example.com
C00034,Customer_34,Retail,east,2023-06-16,customer34@example.com
C00035,Customer_35,Online,central,2024-08-20,customer35@example.com
C00036,Customer_36,Retail,north,2021-09-11,customer36@example.com
C00037,Customer_37,Online,south,2022-03-29,customer37@example.com
C00038,Customer_38,Retail,west,2023-11-27,customer38@example.com
C00039,Customer_39,Retail,north,2024-03-29,customer39@example.com
C00040,Customer_40,Wholesale,north,2023-10-12,customer40@example.com
C00041,Customer_41,Online,east,2021-01-09,customer41@example.com
C00042,Customer_42,Retail,central,2024-06-10,customer42@example.com
C00043,Customer_43,Corporate,west,2024-01-28,customer43@example.com
C00044,Customer_44,Retail,south,2023-03-27,customer44@example.com
