customer_id,customer_name,segment,region,join_date,email
C00001,Customer_1,Online,West,2023-01-22,customer1@example.com
C00002,Customer_2,Retail,West,2021-05-24,customer2@example.com
C00003,Customer_3,,North,09-01-2022,customer3@example.com
C00004,Customer_4,Online,East,09/05/2024,customer4@example.com
C00005,Customer_5,Retail,East,22/02/2024,
C00006,Customer_6,Corporate,East,06/07/2021,customer6@example.com
C00007,Customer_7,Online,Central,2024-09-11,customer7@example.com
C00008,Customer_8,Retail,South,"April 09, 2022",customer8@example.com
C00009,Customer_9,Retail,Central,2024-10-04,customer9@example.com
C00010,Customer_10,Corporate,South,"October 22, 2022",customer10@example.com
C00011,Customer_11,Wholesale,East,unknown,customer11@example.com
C00012,Customer_12,Wholesale,East,2023-08-13,customer12@example.com
C00013,Customer_13,Online,Central,2022-02-07,customer13@example.com
 c00014 ,Customer_14,Online,Central,2024-10-01,customer14@example.com
C00015,Customer_15,,South,27/05/2021,customer15@example.com
C00016,Customer_16,Corporate,West,17/03/2024,customer16@example.com
C00017,Customer_17,Online, East,"May 14, 2023",customer17@example.com
C00018,Customer_18,Online,Central,"May 04, 2022",customer18@example.com
C00019,Customer_19,Online,Central,2023-07-18,customer19@example.com
C00020,Customer_20,Online,North,"July 05, 2022",customer20@example.com
C00021,Customer_21,Online,Central,04/12/2021,customer21@example.com
C00022,Customer_22,Retail,North,"May 22, 2023",customer22@example.com
C00023,Customer_23,Online,West,03-Oct-2022,customer23@example.com
C00024,Customer_24,Online,South,18/04/2022,customer24@example.com
C00025,Customer_25,Online,South,31-May-2021,customer25@example.com
C00026,Customer_26,Online,North,"August 14, 2024",customer26@example.com
C00027,Customer_27,Online,,09-20-2021,customer27@example.com
C00028,Customer_28,Retail,Central,2021-05-24,customer28@example.com
 c00029 ,Customer_29,Retail,East,12/12/2021,customer29@example.com
C00030,Customer_30,Retail,North,16-Sep-2022,customer30@example.com
C00031,Customer_31,Retail,South,10-14-2023,customer31@example.com
C00032,Customer_32,Retail,North,05-31-2023,customer32@example.com
C00033,Customer_33,Online,North,02/01/2021,customer33@example.com
C00034,Customer_34,Retail,East,16/06/2023,customer34@example.com
C00035,Customer_35,Online,Central,08-20-2024,customer35@example.com
C00036,Customer_36,Retail,North,2021-09-11,customer36@example.com
C00037,Customer_37,Online,South,2022-03-29,customer37@example.com
C00038,Customer_38,Retail,West,27-Nov-2023,customer38@example.com
C00039,Customer_39,Retail,North,2024-03-29,customer39@example.com
C00040,Customer_40,Wholesale,North,10-12-2023,customer40@example.com
C00041,Customer_41,Online,East,01-09-2021,customer41@example.com
C00042,Customer_42,Retail,Central,"June 10, 2024",customer42@example.com
C00043,Customer_43,Corporate,West,01-28-2024,customer43@example.com
C00044,Customer_44,Retail,South,2023-03-27,customer44@example.com
